Date,Close,High,Low,Open,Volume,MA5,MA20,Daily_Return,Volatility,RSI14,Target
2015-05-27,8334.599609375,8342.849609375,8277.9501953125,8302.75,165500,8384.8298828125,8284.235009765625,-0.0005695887835976965,0.006520526780440193,64.35892897777552,0
2015-05-28,8319.0,8364.5,8270.150390625,8345.7001953125,232300,8364.4298828125,8288.197509765625,-0.00187166871908917,0.006544693910240541,57.52656434474616,1
2015-05-29,8433.650390625,8443.900390625,8305.7001953125,8327.099609375,363900,8359.369921875,8300.805029296875,0.013781751487558669,0.0076320619011539925,56.54670488457954,0
2015-06-01,8433.400390625,8467.150390625,8405.400390625,8417.25,122200,8372.0,8305.8775390625,-2.964315431874809e-05,0.00650398716400717,74.32721364038781,0
2015-06-02,8236.4501953125,8445.349609375,8226.0498046875,8442.7998046875,146800,8351.4201171875,8301.46005859375,-0.023353592405198742,0.010042902847514787,50.06960872284308,0
2015-06-03,8135.10009765625,8236.7001953125,8094.14990234375,8232.4501953125,171400,8311.52021484375,8303.365063476562,-0.012305070176218624,0.010093904858971789,44.489114251285784,0
2015-06-04,8130.64990234375,8160.0498046875,8056.75,8155.14990234375,154700,8273.8501953125,8307.032568359375,-0.0005470363313393456,0.010084547274798848,41.49997258269155,0
2015-06-05,8114.7001953125,8191.0,8100.14990234375,8119.14990234375,162100,8210.06015625,8303.192578125,-0.001961676769116849,0.009717802305521153,30.94134305079386,0
2015-06-08,8044.14990234375,8131.0,8030.5498046875,8124.35009765625,135900,8132.21005859375,8289.137573242188,-0.008694134258897646,0.009602881110931672,28.33265214921815,0
2015-06-09,8022.39990234375,8057.14990234375,8005.14990234375,8026.5,136000,8089.4,8283.91005859375,-0.0027038282806817193,0.0096106171616549,21.613244324142656,1
2015-06-10,8124.4501953125,8152.25,8023.7998046875,8024.14990234375,136800,8087.27001953125,8278.36005859375,0.012720668903445809,0.01093813893424245,31.60022152420285,0
2015-06-11,7965.35009765625,8163.0498046875,7958.25,8157.2998046875,166200,8054.21005859375,8265.417553710937,-0.019582875620068996,0.012188217495185632,23.376520082444074,1
2015-06-12,7982.89990234375,7995.60009765625,7940.2998046875,7959.85009765625,136600,8027.85,8251.445068359375,0.0022032684655837187,0.010747930233358334,27.37047312759195,1
2015-06-15,8013.89990234375,8057.7001953125,7944.85009765625,7986.60009765625,133000,8021.8,8233.457543945313,0.003883300602441242,0.011033628283544542,30.98899193205655,1
2015-06-16,8047.2998046875,8061.85009765625,7952.35009765625,8004.2001953125,124000,8026.77998046875,8217.540014648437,0.004167746384501569,0.009243593644004306,33.76104372669958,1
2015-06-17,8091.5498046875,8136.85009765625,8048.9501953125,8084.2001953125,152500,8020.19990234375,8200.955004882813,0.005498738840850059,0.008802621569291166,37.54722408463069,1
2015-06-18,8174.60009765625,8186.89990234375,8101.7998046875,8113.7001953125,144800,8062.04990234375,8188.635009765625,0.010263830165222254,0.009437395388169545,35.30879403817302,1
2015-06-19,8224.9501953125,8250.7998046875,8195.650390625,8201.150390625,147100,8110.4599609375,8176.935009765625,0.006159334653041526,0.009543244939175417,38.81406080831097,1
2015-06-22,8353.099609375,8369.4501953125,8257.400390625,8259.2998046875,122700,8178.29990234375,8176.077490234375,0.015580570218593381,0.009777185383743269,56.75875703465469,1
2015-06-23,8381.5498046875,8398.4501953125,8334.9501953125,8377.4501953125,131700,8245.14990234375,8178.1875,0.003405944696333929,0.009511569900878711,65.59708978178926,0
